Epoch: 1, Step: 20/32, Loss: 1.3941151, accuracy: 0.0, valid loss: 1.3642573, valid accuracy: 0.0
Epoch: 1, Step: 21/32, Loss: 1.3642575, accuracy: 0.0, valid loss: 1.4439596, valid accuracy: 0.0
Epoch: 1, Step: 22/32, Loss: 1.4439597, accuracy: 0.0, valid loss: 1.3811755, valid accuracy: 0.0
Epoch: 1, Step: 23/32, Loss: 1.3747193, accuracy: 0.0, valid loss: 1.376415, valid accuracy: 0.0
Epoch: 1, Step: 24/32, Loss: 1.4431136, accuracy: 0.0, valid loss: 1.3457098, valid accuracy: 1.0
Epoch: 1, Step: 25/32, Loss: 1.3457099, accuracy: 1.0, valid loss: 1.4324886, valid accuracy: 0.0
Epoch: 1, Step: 26/32, Loss: 1.3900663, accuracy: 0.0, valid loss: 1.3878177, valid accuracy: 0.0
Epoch: 1, Step: 27/32, Loss: 1.4316028, accuracy: 0.0, valid loss: 1.4003849, valid accuracy: 0.0
Epoch: 1, Step: 28/32, Loss: 1.4233048, accuracy: 0.0, valid loss: 1.3375623, valid accuracy: 1.0
Epoch: 1, Step: 29/32, Loss: 1.4099541, accuracy: 0.0, valid loss: 1.3973036, valid accuracy: 0.0
Epoch: 1, Step: 30/32, Loss: 1.3957492, accuracy: 0.0, valid loss: 1.3936898, valid accuracy: 0.0
Epoch: 1, Step: 31/32, Loss: 1.4165001, accuracy: 0.0, valid loss: 1.4140576, valid accuracy: 0.0
Epoch: 2, Step: 0/32, Loss: 1.3530669, accuracy: 1.0, valid loss: 1.3530625, valid accuracy: 1.0
Epoch: 2, Step: 1/32, Loss: 1.4135833, accuracy: 0.0, valid loss: 1.3839241, valid accuracy: 0.0
Epoch: 2, Step: 2/32, Loss: 1.3839241, accuracy: 0.0, valid loss: 1.4065831, valid accuracy: 0.0
Epoch: 2, Step: 3/32, Loss: 1.406583, accuracy: 0.0, valid loss: 1.4018285, valid accuracy: 0.0
Epoch: 2, Step: 4/32, Loss: 1.4056954, accuracy: 0.0, valid loss: 1.3707974, valid accuracy: 1.0
Epoch: 2, Step: 5/32, Loss: 1.4030175, accuracy: 0.0, valid loss: 1.3747275, valid accuracy: 1.0
Epoch: 2, Step: 6/32, Loss: 1.378216, accuracy: 0.0, valid loss: 1.3922287, valid accuracy: 0.0
Epoch: 2, Step: 7/32, Loss: 1.3951856, accuracy: 0.0, valid loss: 1.3866913, valid accuracy: 0.0
Epoch: 2, Step: 8/32, Loss: 1.3844393, accuracy: 0.0, valid loss: 1.3862696, valid accuracy: 0.0
Epoch: 2, Step: 9/32, Loss: 1.3953425, accuracy: 0.0, valid loss: 1.3831543, valid accuracy: 0.0
Epoch: 2, Step: 10/32, Loss: 1.3784426, accuracy: 1.0, valid loss: 1.3904657, valid accuracy: 0.0
Epoch: 2, Step: 11/32, Loss: 1.3904657, accuracy: 0.0, valid loss: 1.3652259, valid accuracy: 1.0
Epoch: 2, Step: 12/32, Loss: 1.4065486, accuracy: 0.0, valid loss: 1.4076099, valid accuracy: 0.0
Epoch: 2, Step: 13/32, Loss: 1.3975152, accuracy: 0.0, valid loss: 1.3966717, valid accuracy: 0.0
Epoch: 2, Step: 14/32, Loss: 1.411165, accuracy: 0.0, valid loss: 1.3759717, valid accuracy: 0.0
Epoch: 2, Step: 15/32, Loss: 1.3627849, accuracy: 1.0, valid loss: 1.357944, valid accuracy: 1.0
Epoch: 2, Step: 16/32, Loss: 1.4077553, accuracy: 0.0, valid loss: 1.401339, valid accuracy: 0.0
Epoch: 2, Step: 17/32, Loss: 1.4080768, accuracy: 0.0, valid loss: 1.4062785, valid accuracy: 0.0
Epoch: 2, Step: 18/32, Loss: 1.3981568, accuracy: 0.0, valid loss: 1.3932959, valid accuracy: 0.0
Epoch: 2, Step: 19/32, Loss: 1.3932959, accuracy: 0.0, valid loss: 1.3589833, valid accuracy: 1.0
Epoch: 2, Step: 20/32, Loss: 1.392738, accuracy: 0.0, valid loss: 1.3797349, valid accuracy: 0.0
Epoch: 2, Step: 21/32, Loss: 1.3797351, accuracy: 0.0, valid loss: 1.4228588, valid accuracy: 0.0
Epoch: 2, Step: 22/32, Loss: 1.422859, accuracy: 0.0, valid loss: 1.379735, valid accuracy: 0.0
Epoch: 2, Step: 23/32, Loss: 1.3786733, accuracy: 0.0, valid loss: 1.3799067, valid accuracy: 0.0
Epoch: 2, Step: 24/32, Loss: 1.4236745, accuracy: 0.0, valid loss: 1.3615901, valid accuracy: 1.0
Epoch: 2, Step: 25/32, Loss: 1.3615901, accuracy: 1.0, valid loss: 1.415184, valid accuracy: 0.0
Epoch: 2, Step: 26/32, Loss: 1.387859, accuracy: 0.0, valid loss: 1.3855345, valid accuracy: 0.0
Epoch: 2, Step: 27/32, Loss: 1.4150623, accuracy: 0.0, valid loss: 1.4006685, valid accuracy: 0.0
Epoch: 2, Step: 28/32, Loss: 1.4079318, accuracy: 0.0, valid loss: 1.3539361, valid accuracy: 1.0
Epoch: 2, Step: 29/32, Loss: 1.4093114, accuracy: 0.0, valid loss: 1.3845881, valid accuracy: 0.0
Epoch: 2, Step: 30/32, Loss: 1.3927866, accuracy: 0.0, valid loss: 1.3908161, valid accuracy: 0.0
Epoch: 2, Step: 31/32, Loss: 1.4153925, accuracy: 0.0, valid loss: 1.413296, valid accuracy: 0.0
Epoch: 3, Step: 0/32, Loss: 1.3672726, accuracy: 1.0, valid loss: 1.3668792, valid accuracy: 1.0
Epoch: 3, Step: 1/32, Loss: 1.4127078, accuracy: 0.0, valid loss: 1.3738852, valid accuracy: 0.0
Epoch: 3, Step: 2/32, Loss: 1.3738853, accuracy: 0.0, valid loss: 1.4036077, valid accuracy: 0.0
Epoch: 3, Step: 3/32, Loss: 1.4036076, accuracy: 0.0, valid loss: 1.4018308, valid accuracy: 0.0
Epoch: 3, Step: 4/32, Loss: 1.4028727, accuracy: 0.0, valid loss: 1.3813025, valid accuracy: 0.0
Epoch: 3, Step: 5/32, Loss: 1.4033153, accuracy: 0.0, valid loss: 1.366584, valid accuracy: 1.0
Epoch: 3, Step: 6/32, Loss: 1.3874639, accuracy: 0.0, valid loss: 1.3903953, valid accuracy: 0.0
Epoch: 3, Step: 7/32, Loss: 1.3964623, accuracy: 0.0, valid loss: 1.388637, valid accuracy: 0.0
Epoch: 3, Step: 8/32, Loss: 1.3764055, accuracy: 1.0, valid loss: 1.3931112, valid accuracy: 0.0
Epoch: 3, Step: 9/32, Loss: 1.393818, accuracy: 0.0, valid loss: 1.3756813, valid accuracy: 1.0
Epoch: 3, Step: 10/32, Loss: 1.3813211, accuracy: 0.0, valid loss: 1.3895794, valid accuracy: 0.0
